model,retrieval,fewshot,acc_mean,acc_std,gvr_mean,gvr_std
gpt4nano,levenshtein,0,0.68,0.04444097208657791,0.24833333333333332,0.062115483845280754
gpt4nano,levenshtein,5,0.7999999999999999,0.03122498999199197,0.0016666666666666668,0.002886751345948129
gpt4nano,levenshtein,15,0.8066666666666666,0.0301385688667085,0.0016666666666666668,0.002886751345948129
gpt4nano,random,0,0.68,0.04444097208657791,0.24833333333333332,0.062115483845280754
gpt4nano,random,5,0.6366666666666667,0.03547299442298798,0.17,0.03278719262150999
gpt4nano,random,15,0.7166666666666667,0.020816659994661358,0.04833333333333334,0.002886751345948132
haiku,levenshtein,0,0.6833333333333332,0.04725815626252608,0.24333333333333332,0.062115483845280754
haiku,levenshtein,5,0.7933333333333333,0.017559422921421205,0.0016666666666666668,0.002886751345948129
haiku,levenshtein,15,0.7916666666666666,0.020207259421636866,0.0016666666666666668,0.002886751345948129
haiku,random,0,0.6833333333333332,0.04725815626252608,0.24333333333333332,0.062115483845280754
haiku,random,5,0.7433333333333333,0.02081665999466133,0.07666666666666666,0.017559422921421233
haiku,random,15,0.77,0.026457513110645932,0.0033333333333333335,0.002886751345948129
sonnet,levenshtein,0,0.6933333333333334,0.04725815626252608,0.2233333333333333,0.05346338310781812
sonnet,levenshtein,5,0.7933333333333333,0.017559422921421205,0.0016666666666666668,0.002886751345948129
sonnet,levenshtein,15,0.795,0.021794494717703405,0.0016666666666666668,0.002886751345948129
sonnet,random,0,0.6933333333333334,0.04725815626252608,0.2233333333333333,0.05346338310781812
sonnet,random,5,0.7816666666666667,0.03685557397915995,0.03,0.015
sonnet,random,15,0.7766666666666667,0.025658007197234486,0.0033333333333333335,0.002886751345948129
