model,retrieval,fewshot,acc_mean,acc_std,gvr_mean,gvr_std
gpt4nano,levenshtein,0,0.17500000000000002,0.022912878474779203,0.04666666666666667,0.0202072594216369
gpt4nano,levenshtein,5,0.54,0.09526279441628828,0.02,0.005000000000000001
gpt4nano,levenshtein,15,0.5983333333333333,0.09569918146637059,0.013333333333333334,0.005773502691896257
gpt4nano,random,0,0.17500000000000002,0.022912878474779203,0.04666666666666667,0.0202072594216369
gpt4nano,random,5,0.3433333333333333,0.049328828623162464,0.03333333333333333,0.01607275126832159
gpt4nano,random,15,0.39166666666666666,0.027537852736430522,0.03,0.013228756555322954
haiku,levenshtein,0,0.31666666666666665,0.012583057392117921,0.028333333333333335,0.01607275126832159
haiku,levenshtein,5,0.6150000000000001,0.07549834435270752,0.005,0.0
haiku,levenshtein,15,0.6566666666666666,0.0825126252965771,0.0016666666666666668,0.002886751345948129
haiku,random,0,0.31666666666666665,0.012583057392117921,0.028333333333333335,0.01607275126832159
haiku,random,5,0.5566666666666668,0.11239810200058248,0.005,0.008660254037844385
haiku,random,15,0.6033333333333334,0.06448514040717702,0.005,0.008660254037844385
sonnet,levenshtein,0,0.2916666666666667,0.020207259421636897,0.02,0.01
sonnet,levenshtein,5,0.6316666666666667,0.07751343969488989,0.0,0.0
sonnet,levenshtein,15,0.6616666666666666,0.07251436639269031,0.0,0.0
sonnet,random,0,0.2916666666666667,0.020207259421636897,0.02,0.01
sonnet,random,5,0.6166666666666667,0.08251262529657702,0.01,0.01
sonnet,random,15,0.6216666666666667,0.07005949852327896,0.01,0.01
